CEOapproval,ID,Occuational Level,Factor,Assessment,Justification from JD,Additional Portfolios / Expanded Scope,Grade Impact Review,Recommended JD Grading,JobTitle,Notes
False,40,"Managers (Site Manager, Depot Manager, MRF Manager, Compliance Manager, Hazardous Waste Manager)",Financial Impact,Medium–High,"Controls site costs, productivity, budgets and resources.",,, Grade: D Lower – D Upper,,
False,41,"Managers (Site Manager, Depot Manager, MRF Manager, Compliance Manager, Hazardous Waste Manager)",People Management,Supervisors and Staff,"Manages supervisors, operators and admin staff.",,, Grade: D Lower – D Upper,,
False,42,"Managers (Site Manager, Depot Manager, MRF Manager, Compliance Manager, Hazardous Waste Manager)",Compliance & Risk,High Legal Accountability,"Responsible for ISO, SHEQ, Environmental and Waste licence compliance.",,, Grade: D Lower – D Upper,,
False,43,"Managers (Site Manager, Depot Manager, MRF Manager, Compliance Manager, Hazardous Waste Manager)",Planning Horizon,Medium Term (6–12 months),"Budget input, operational planning, maintenance planning.",,, Grade: D Lower – D Upper,,
False,44,"Supervisors (Site Supervisor, Warehouse Supervisor, Logistics Supervisor, Plant Supervisor)",Decision Making,C Band (Operational Supervisory),Supervises daily operations and staff allocation.,,, Grade: C Upper,,
False,45,"Supervisors (Site Supervisor, Warehouse Supervisor, Logistics Supervisor, Plant Supervisor)",Problem Solving,Moderate Operational Complexity,"Resolves daily operational issues, staffing and equipment problems.",,, Grade: C Upper,,
False,46,"Supervisors (Site Supervisor, Warehouse Supervisor, Logistics Supervisor, Plant Supervisor)",Financial Impact,Medium,"Controls overtime, equipment use, productivity.",,, Grade: C Upper,,
False,47,"Supervisors (Site Supervisor, Warehouse Supervisor, Logistics Supervisor, Plant Supervisor)",People Management,Team Supervision,"Supervises operators, drivers and workers.",,, Grade: C Upper,,
False,48,"Supervisors (Site Supervisor, Warehouse Supervisor, Logistics Supervisor, Plant Supervisor)",Compliance & Risk,Operational Compliance Responsibility,"Ensures safety procedures, site compliance and SOP adherence.",,, Grade: C Upper,,
False,49,"Supervisors (Site Supervisor, Warehouse Supervisor, Logistics Supervisor, Plant Supervisor)",Planning Horizon,Short Term (Daily / Weekly / Monthly),"Plans shifts, production and daily site activities.",,, Grade: C Upper,,
False,50,"Team Leaders (Team Leader, Sales Team Leader, Recycling Team Leader, Admin Team Leader)",Decision Making,C Lower (Work Allocation),Allocates work and oversees small teams.,,, Grade: C Lower – C Middle,,
False,51,"Team Leaders (Team Leader, Sales Team Leader, Recycling Team Leader, Admin Team Leader)",Problem Solving,Routine Operational Problems,Handles minor operational issues and staff coordination.,,, Grade: C Lower – C Middle,,
False,52,"Team Leaders (Team Leader, Sales Team Leader, Recycling Team Leader, Admin Team Leader)",Financial Impact,Low–Medium,Influences productivity and material recovery.,,, Grade: C Lower – C Middle,,
False,53,"Team Leaders (Team Leader, Sales Team Leader, Recycling Team Leader, Admin Team Leader)",People Management,Small Team,Leads small operational teams.,,, Grade: C Lower – C Middle,,
False,54,"Team Leaders (Team Leader, Sales Team Leader, Recycling Team Leader, Admin Team Leader)",Compliance & Risk,Basic Compliance Responsibility,Ensures staff follow safety and operational procedures.,,, Grade: C Lower – C Middle,,
False,55,"Team Leaders (Team Leader, Sales Team Leader, Recycling Team Leader, Admin Team Leader)",Planning Horizon,Short Term (Daily / Weekly),Plans daily work and team outputs.,,, Grade: C Lower – C Middle,,
False,56,"Clerks / Admin / Officers (Admin Clerk, Debtors Clerk, Logistics Clerk, SHEQ Officer)",Decision Making,B Band (Clerical / Technical Decisions),Works according to procedures and policies.,,, Grade: B Upper / C Lower (SHEQ Officer),,
False,57,"Clerks / Admin / Officers (Admin Clerk, Debtors Clerk, Logistics Clerk, SHEQ Officer)",Problem Solving,Administrative / Technical,"Resolves admin, documentation and reporting issues.",,, Grade: B Upper / C Lower (SHEQ Officer),,
False,58,"Clerks / Admin / Officers (Admin Clerk, Debtors Clerk, Logistics Clerk, SHEQ Officer)",Financial Impact,Low–Medium,"Processes invoices, payroll, stock, documentation.",,, Grade: B Upper / C Lower (SHEQ Officer),,
False,59,"Clerks / Admin / Officers (Admin Clerk, Debtors Clerk, Logistics Clerk, SHEQ Officer)",People Management,None,No direct staff management.,,, Grade: B Upper / C Lower (SHEQ Officer),,
False,60,"Clerks / Admin / Officers (Admin Clerk, Debtors Clerk, Logistics Clerk, SHEQ Officer)",Compliance & Risk,Documentation Compliance,Ensures paperwork and records comply with ISO and legal requirements.,,, Grade: B Upper / C Lower (SHEQ Officer),,
False,61,"Clerks / Admin / Officers (Admin Clerk, Debtors Clerk, Logistics Clerk, SHEQ Officer)",Planning Horizon,Short Term,Daily / Monthly admin planning.,,, Grade: B Upper / C Lower (SHEQ Officer),,
False,62,Drivers / Operators / Skilled Workers,Decision Making,B Band (Operational Skills),Makes decisions related to vehicle operation and equipment use.,,, Grade: B Middle,,
False,63,Drivers / Operators / Skilled Workers,Problem Solving,Practical Operational,Handles equipment and operational issues.,,, Grade: B Middle,,
False,64,Drivers / Operators / Skilled Workers,Financial Impact,Low–Medium,Responsible for equipment and loads.,,, Grade: B Middle,,
False,65,Drivers / Operators / Skilled Workers,People Management,None,Individual contributor role.,,, Grade: B Middle,,
False,66,Drivers / Operators / Skilled Workers,Compliance & Risk,Safety Compliance,"Responsible for vehicle safety, waste transport compliance.",,, Grade: B Middle,,
False,67,Drivers / Operators / Skilled Workers,Planning Horizon,Daily,Based on daily routes and tasks.,,, Grade: B Middle,,
False,68,General Workers / Assistants / Labour,Decision Making,A Band (Defined Work),Works according to instructions and supervision.,,, Grade: A Lower – A Upper,,
False,69,General Workers / Assistants / Labour,Problem Solving,Routine,Performs manual and repetitive tasks.,,, Grade: A Lower – A Upper,,
False,70,General Workers / Assistants / Labour,Financial Impact,Low,Limited financial responsibility.,,, Grade: A Lower – A Upper,,
False,71,General Workers / Assistants / Labour,People Management,None,No staff management.,,, Grade: A Lower – A Upper,,
False,72,General Workers / Assistants / Labour,Compliance & Risk,Basic Safety Compliance,Must follow safety procedures.,,, Grade: A Lower – A Upper,,
False,73,General Workers / Assistants / Labour,Planning Horizon,Immediate,Daily task based work.,,, Grade: A Lower – A Upper,,
