"TABLE_NAME","COLUMN_NAME","ORDINAL_POSITION","DATA_TYPE"
"Employees Employment details","Job Title","52","3"
"Employees Employment details","JobGradeasPerNBC","53","130"
"Employees Employment details","CategoryAsPerNBC","54","130"
"Employees Employment details","Province","55","3"
"Employees Employment details","Depo","56","130"
"Employees Employment details","Account","57","130"
"Employees Employment details","CostDepartment","58","130"
"Employees Employment details","CostCenter","59","130"
"Employees Employment details","RatePerHour","60","5"
"Employees Employment details","MonthlySalary","61","5"
"Employees Employment details","RemunerationPerAnunm","62","5"
"Employees Employment details","UIFStatus","63","130"
"Employees Employment details","TaxStatus","64","130"
"Employees Employment details","MedicalAidPlan","65","130"
"Employees Employment details","MedicalAidAmount","66","5"
"Employees Employment details","VitalityAmount","67","5"
"Employees Employment details","Site","68","130"
"Employees Employment details","JobFunctionalityEquity","69","130"
"Employees Employment details","OccupationalyLevelEquity","70","130"
"Employees Employment details","ConcilNBC","71","130"
"Employees Employment details","HoursPerMonth","72","5"
"Employees Employment details","HoursPerDay","73","5"
"Employees Employment details","AnnualLeaveEntitlement","74","3"
"Employees Employment details","Momentum","75","130"
"Employees Employment details","Momentum_Date","76","7"
"Employees Employment details","Momentum_a","77","130"
"Employees Employment details","Company Number","78","130"
"Employees Employment details","Level","79","130"
"Employees Employment details","Department","80","3"
"Employees Employment details","Address","81","130"
"Employees Employment details","State/Province","82","3"
"Employees Employment details","Notes","83","130"
"Employees Employment details","Attachments","84","130"
"Employees Employment details","Physician Name","85","130"
"Employees Employment details","Physician Phone Number","86","130"
"Employees Employment details","Allergies","87","130"
"Employees Employment details","Medications","88","130"
"Employees Employment details","Entered","89","7"
"Employees Employment details","Saved","90","3"
"Employees Employment details","Recriumted","91","130"
"Employees Employment details","PossibleTargetPlanSuccession","92","130"
"Employees Employment details","id","93","130"
"Employees Employment details","Criminalcheck","94","130"
"Employees Employment details","SageForm","95","130"
"Employees Employment details","BankConfirmation","96","130"
"Employees Employment details","SAR","97","130"
"Employees Employment details","Contract","98","130"
"Employees Employment details","JobDescription","99","130"
"Employees Employment details","LineManager","100","130"
"Employees Employment details","Compliance","101","130"
"Employees Employment details","EXCOapproval","102","130"
"Employees Employment details","EEcommitteeRep","103","130"
"Employees Employment details","Approval","104","130"
"Employees Employment details","HR","105","130"
"Employees Employment details","CurrentPosition","106","130"
"Employees Employment details","CKR","107","130"
"Employees Employment details","TakeNo","108","3"
"Find duplicates for tblSites","Site Field","1","130"
"Find duplicates for tblSites","NumberOfDups","2","3"
"frmRecTarget","Gender","1","130"
"LoginDetails","ID","1","3"
"LoginDetails","EmployeeName","2","3"
"LoginDetails","UserName","3","130"
"LoginDetails","Password","4","130"
"LoginDetails","Admin","5","11"
"LoginDetails","Editior","6","11"
"LoginDetails","User","7","11"
"LoginDetails","Level","8","130"
"Paste Errors","F1","1","130"
"qryClaimRef","RefNo","1","3"
"qryClaimRef","PeriodClaimStartDate","2","7"
"qryClaimRef","PeriodClaimEndDate","3","7"
"qryClaimRef","First Name","4","130"
"qryClaimRef","Province","5","3"
"qryClaimRef","Department","6","3"
"qryClaimRef","Tot","7","6"
"qryClaimRef","SignedOn","8","7"
"qryClaimRef","EmployeeID","9","3"
"qryEmpMarks","TrainingID","1","3"
"qryEmpMarks","EmpNo","2","3"
"qryEmpMarks","Attempted","3","3"
"qryEmpMarks","Obtained","4","5"
"qryEmpResult","TrainingID","1","3"
"qryEmpResult","EmpNo","2","3"
"qryEmpResult","Attempted","3","3"
"qryEmpResult","Obtained","4","5"
"qryEmpResult","TotPoints","5","5"
"qryEmpResult","TotQue","6","3"
"QryExportExcelTrainings","First Name","1","130"
"QryExportExcelTrainings","Last Name","2","130"
"QryExportExcelTrainings","ID","3","3"
"QryExportExcelTrainings","EmployeeID","4","3"
"QryExportExcelTrainings","EmployeeEmail","5","130"
"QryExportExcelTrainings","TypeOfTraining","6","130"
"QryExportExcelTrainings","Skills","7","3"
"QryExportExcelTrainings","BookingDate","8","7"
"QryExportExcelTrainings","Status","9","130"
"QryExportExcelTrainings","Name of training program","10","130"
"QryExportExcelTrainings","Educational Institute Name","11","130"
"QryExportExcelTrainings","TrainingLocation","12","130"
"QryExportExcelTrainings","Registration","13","130"
"QryExportExcelTrainings","NQF Rating","14","130"
"QryExportExcelTrainings","Notes","15","130"
"QryExportExcelTrainings","Approvers Email","16","130"
"QryExportExcelTrainings","ApproversName","17","130"
"QryExportExcelTrainings","Finance","18","130"
"QryExportExcelTrainings","Purchase Order","19","130"
"QryExportExcelTrainings","TrainingStartDate","20","7"
"QryExportExcelTrainings","TrainingEndDate","21","7"
"QryExportExcelTrainings","Quote","22","130"
"QryExportExcelTrainings","PP","23","130"
"QryExportExcelTrainings","Certificate","24","130"
"qryFinalResult","Skills","1","3"
"qryFinalResult","Title","2","130"
"qryFinalResult","Intials","3","130"
"qryFinalResult","Surname","4","130"
"qryFinalResult","MadienName","5","130"
"qryFinalResult","First Name","6","130"
"qryFinalResult","Last Name","7","130"
"qryFinalResult","EmployeeID","8","3"
"qryFinalResult","TypeOfTraining","9","130"
"qryFinalResult","ID","10","3"
"qryFinalResult","Attempted","11","3"
"qryFinalResult","Obtained","12","5"
"qryFinalResult","TotPoints","13","5"
"qryFinalResult","TotQue","14","3"
"qryForExp","ExpenseID","1","3"
"qryForExp","EmployeeID","2","3"
"qryForExp","Region","3","3"
"qryForExp","Department","4","3"
"qryForExp","TblExpense.DateOfClaim","5","7"
"qryForExp","PeriodClaimStartDate","6","7"
"qryForExp","PeriodClaimEndDate","7","7"
"qryForExp","ListTextItems","8","130"
"qryForExp","TblExpense.ExpenseCategory","9","3"
"qryForExp","DepotID","10","3"
"qryForExp","CostOfSaleID","11","3"
"qryForExp","ActivitiesID","12","3"
"qryForExp","OverheadsID","13","3"
"qryForExp","Merge","14","130"
"qryForExp","CostExVAT","15","6"
"qryForExp","VAT","16","5"
"qryForExp","VATAmount","17","5"
"qryForExp","TotalAmount","18","5"
"qryForExp","MangerApproval","19","130"
"qryForExp","ApprovedBy","20","130"
"qryForExp","SignedBy","21","130"
"qryForExp","SignedOn","22","7"
"qryForExp","FIles","23","130"
"qryForExp","RefNo","24","3"
"qryForExp","TblExpenseCategory.ExpenseCategory","25","130"
"qryForExp","TblExpense.DateOfClaim","26","7"
"qryForTrainingReg","Skills","1","3"
"qryForTrainingReg","Title","2","130"
"qryForTrainingReg","Intials","3","130"
"qryForTrainingReg","Surname","4","130"
"qryForTrainingReg","MadienName","5","130"
"qryForTrainingReg","First Name","6","130"
"qryForTrainingReg","Last Name","7","130"
"qryForTrainingReg","EmployeeID","8","3"
"qryForTrainingReg","TypeOfTraining","9","130"
"qryForTrainingReg","ID","10","3"
"QryNewRecur","EmployeeID","1","3"
"QryNewRecur","First Name","2","130"
"QryNewRecur","Last Name","3","130"
"QryNewRecur","E-mail Address","4","130"
"QryNewRecur","Department","5","3"
"QryNewRecur","Saved","6","3"
"QryNewRecur","Recriumted","7","130"
"QryNewRecur","Expr1","8","130"
"qryQuePerTraining","TrainNo","1","3"
"qryQuePerTraining","TotQue","2","3"
"qryQueWisePts","QueNo","1","3"
"qryQueWisePts","totPts","2","3"
"qryRecCompare","Tot","1","5"
"qryRecCompare","Gender","2","130"
"qryRecCompare","Race","3","130"
"qryRecCompare","Occupational Level","4","130"
"qryRecCompare","TotRec","5","5"
"qryTotMarks","QueID","1","3"
"qryTotMarks","Tot","2","5"
"qryTotMarks","TrainNo","3","3"
"qryTrainingWise","TrainingID","1","3"
"qryTrainingWise","Training","2","130"
"qryTrainingWise","TotPoints","3","5"
"qryTrainingWise","PerTrain","4","3"
"Recruitment","RecuritmentId","1","3"
"Recruitment","Timestamp","2","7"
"Recruitment","This Application Is An","3","130"
"Recruitment","Region","4","3"
"Recruitment","Department (where will the candidate be placed)","5","3"
"Recruitment","First Name","6","130"
"Recruitment","Last name","7","130"
"Recruitment","Select Gender","8","130"
"Recruitment","What is the candidate's Home address","9","130"
"Recruitment","What is the Candidate's phone Number","10","130"
"Recruitment","What position is Being Applied For","11","3"
"Recruitment","How many years of experience does the candidate have in this fie","12","3"
"Recruitment","How many years of experience does the candidate have in this Ind","13","3"
"Recruitment","What is the highest Qualifications that the Candidate has?","14","3"
"Recruitment","Is the qualification relevant to the position applied for?","15","3"
"Recruitment","Has the candidate been employed before?-","16","3"
"Recruitment","How many companies has the candidate worked for in the past 10 y","17","5"
"Recruitment","What is the name of the company that the candidate worked/works ","18","130"
"Recruitment","Has the reference from the last employer been verified? Please r","19","130"
"Recruitment","Overall commitment to the previous employer Score","20","3"
"Recruitment","Ability to complete task","21","5"
"Recruitment","Attendance at work","22","5"
"Recruitment","Report On Credit Check","23","3"
"Recruitment","Report On criminal check","24","3"
"Recruitment","Have you managed other employees before?(for management position","25","3"
"Recruitment","What is the candidates strengths and weakness? List and explain","26","130"
"Recruitment","Does the candidate have any experience in budget control or fina","27","3"
"Recruitment","Is the candidate computer literate?","28","3"
"Recruitment","Does the candidate have any SHEQ or ISO knowledge or experience?","29","3"
"Recruitment","Does the candidate have any human resources skills ie discipli","30","3"
"Recruitment","List Any Other Qualifications","31","130"
"Recruitment","How would you rate candidate for the position","32","3"
"Recruitment","Is this an EE target position?","33","130"
"Recruitment","Is the person from a previously disadvantaged group?","34","130"
"Recruitment","Which Employment Equity Group does the Candidate belong to?","35","3"
"Recruitment","What is the Demographic of candidate ?","36","3"
"Recruitment","Does the appointment meet the employment equity policy objective","37","3"
"Recruitment","Why isn't this an EE appointment ? Explain","38","130"
"Recruitment","Select The Interviewer's Email Address","39","130"
"Recruitment","Has the Candidate being Recruited?","40","11"
"Recruitment","Has the candidate worked in this position before Score","41","3"
"Recruitment","Scores","42","5"
"Recruitment","Recruitmented","43","130"
"Recruitment","AssesmentReport","44","130"
"TbJobDescriptionlKPIEntry","JobDescriptionKPIID","1","3"
"TbJobDescriptionlKPIEntry","JobdescriptionRecordID","2","3"
"TbJobDescriptionlKPIEntry","KPI","3","130"
"tblActivities","ActivitiesID","1","3"
"tblActivities","Activities","2","130"
"tblActivities","Code","3","3"
"tblActualRecruitment","Due Date","1","5"
"tblActualRecruitment","Region","2","130"
"tblActualRecruitment","Department","3","130"
"tblActualRecruitment","Name","4","130"
"tblActualRecruitment","Surname","5","130"
"tblActualRecruitment","Company No","6","130"
"tblActualRecruitment","Job Title","7","130"
"tblActualRecruitment","Occupational Level","8","130"
"tblActualRecruitment","Employment Type","9","130"
"tblActualRecruitment","Gender","10","130"
"tblActualRecruitment","Race","11","130"
"tblActualRecruitment","Value","12","5"
"tblActualRecruitment","Reason for appoinment","13","130"
"tblActualRecruitment","Responsible Executive","14","130"
"tblActualRecruitment","Resposnsible Manager","15","130"
"tblActualRecruitment","Progress Track Status","16","130"
"tblActualRecruitment","Reason","17","130"
"tblActualRecruitment","NonEE","18","130"
"tblActualRecruitment","Approval","19","130"
"tblActualRecruitment","NonComp","20","130"
"tblActualRecruitment","Selections","21","130"
"tblActualRecruitment","Non-Recruitment Reason","22","130"
"TblAllTrainings","TrainingID","1","3"
"TblAllTrainings","Training","2","130"
"TblAllTrainings","TrainingType","3","130"
"TblAllTrainings","Attach","4","130"
"TblAnalysisSkils","ID","1","3"
"TblAnalysisSkils","EmployeeID","2","3"
"TblAnalysisSkils","EmployeeEmail","3","130"
"TblAnalysisSkils","TypeOfTraining","4","130"
"TblAnalysisSkils","Skills","5","3"
"TblAnalysisSkils","BookingDate","6","7"
"TblAnalysisSkils","Status","7","130"
"TblAnalysisSkils","Name of training program","8","130"
"TblAnalysisSkils","Educational Institute Name","9","130"
"TblAnalysisSkils","TrainingLocation","10","130"
"TblAnalysisSkils","Registration","11","130"
"TblAnalysisSkils","NQF Rating","12","130"
"TblAnalysisSkils","Notes","13","130"
"TblAnalysisSkils","Approvers Email","14","130"
"TblAnalysisSkils","ApproversName","15","130"
"TblAnalysisSkils","Finance","16","130"
"TblAnalysisSkils","Purchase Order","17","130"
"TblAnalysisSkils","TrainingStartDate","18","7"
"TblAnalysisSkils","TrainingEndDate","19","7"
"TblAnalysisSkils","Quote","20","130"
"TblAnalysisSkils","PP","21","130"
"TblAnalysisSkils","Certificate","22","130"
"tblAnswers","AnswerID","1","3"
"tblAnswers","QueNo","2","3"
"tblAnswers","Answer","3","130"
"tblAnswers","Points","4","3"
"tblAnswers","Sort","5","130"
"tblApproval","RefID","1","3"
"tblApproval","ClaimFrom","2","7"
"tblApproval","ClaimTo","3","7"
"tblApproval","ApprovedBy","4","130"
"tblApproval","Dt","5","7"
"tblCarScheme","CarSchemeID","1","3"
"tblCarScheme","EmployeeName","2","3"
"tblCarScheme","Department","3","3"
"tblCarScheme","Region","4","3"
"tblCarScheme","cMonth","5","7"
"tblCarScheme","KMStart","6","3"
"tblCarScheme","KMEnd","7","3"
"tblCarScheme","TotalKM","8","3"
"tblCarScheme","Pkm","9","3"
"tblCarScheme","Bkm","10","3"
"tblCarScheme","RatePerKm","11","6"
"tblCarScheme","TotalAmount","12","6"
"tblCarScheme","Status","13","130"
"tblCarScheme","Notes","14","130"
"TblCostOfSale","CostofSaleID","1","3"
"TblCostOfSale","CostOfSale","2","130"
"TblCostOfSale","Code","3","130"
"TblCriminalReport","N","1","3"
"TblCriminalReport","CriminalReport","2","130"
"tblCritical","ID","1","3"
"tblCritical","CriticalSkills","2","130"
"tblCritical","REF","3","130"
"tblCriticalSkills","CriticalityReason","1","130"
"tblCriticalSkills","TierSelection","2","130"
"tblCriticalSkills","RiskLevel","3","130"
"tblCriticalSkills","SuccessorIdentified","4","3"
"tblCriticalSkills","LastReviewDate","5","7"
"tblCriticalSkills","RefID","6","130"
"tblCriticalSkills","ID","7","3"
"TblDeparment","DepID","1","3"
"TblDeparment","DepName","2","130"
"TblDepot","DepotID","1","3"
"TblDepot","DepotName","2","130"
"TblDepot","Code","3","3"
"tblDevelopement","DateInitiated","1","7"
"tblDevelopement","Required Standard","2","130"
"tblDevelopement","Current Level","3","130"
"tblDevelopement","Gap Identified","4","130"
"tblDevelopement","Action Required","5","130"
"tblDevelopement","Milestone","6","130"
"tblDevelopement","Measurement Criteria","7","130"
"tblDevelopement","DevID","8","3"
"tblDevelopement","EmpNo","9","3"
"tblDevExp","ExperienceID","1","3"
"tblDevExp","DevNo","2","130"
"tblDevExp","Experience","3","130"
"tblDevExp","Area","4","130"
"tblDevExp","TargetDate","5","7"
"tblDevExp","Status","6","130"
"tblDevExp","Approval","7","130"
"tblDevExp","Dt","8","7"
"tblDevExp","LineManager","9","130"
"tblDevExp","HR","10","130"
"tblDevExp","Compliance","11","130"
"tblDevExp","EXCO","12","130"
"tblDevExp","TimeFrame","13","130"
"tblDevExp","Competency","14","130"
"TblDisciplinary","ID","1","3"
"TblDisciplinary","EmployeeID","2","3"
"TblDisciplinary","Title","3","130"
"TblDisciplinary","Dateofoffence","4","7"
"TblDisciplinary","Notes","5","130"
"TblDisciplinary","TypeofDisciplinary","6","130"
"TblDisciplinary","NatureOfOffence","7","3"
"TblDisciplinary","DateOfDisciplinary","8","7"
"TblDisciplinary","DisciplinaryAction","9","3"
"TblDisciplinary","DateOfEnquiry","10","7"
"TblDisciplinary","Who","11","130"
"TblDisciplinary","DisciplinaryActionOpenDate","12","7"
"TblDisciplinary","Disciplinaryaction Closed date","13","7"
"TblDisciplinary","AttachDocument","14","130"
"tblDisciplinaryAction","DAID","1","3"
"tblDisciplinaryAction","DA","2","130"
"tblEmpInterview","ID","1","3"
"tblEmpInterview","EmpNo","2","3"
"tblEmpInterview","QueNo","3","3"
"tblEmpInterview","Ans","4","130"
"tblEmpInterview","Score","5","3"
"tblEmpInterview","Upload","6","130"
"tblEmpInterview","Notes","7","130"
"TblEmployeeExternalTrainingDetails","ExternalTrainingID","1","3"
"TblEmployeeExternalTrainingDetails","EmployeeID","2","3"
"TblEmployeeExternalTrainingDetails","ExternalTrainings","3","3"
"TblEmployeeInternalTrainingDetails","InternalTrainingID","1","3"
"TblEmployeeInternalTrainingDetails","EmployeeID","2","3"
"TblEmployeeInternalTrainingDetails","InternalTraining","3","3"
"TblEmployeeInternalTrainingDetails","Approved","4","11"
"TblEmployeePerformence","EmpPerID","1","3"
"TblEmployeePerformence","EmployeeID","2","3"
"TblEmployeePerformence","Title","3","130"
"TblEmployeePerformence","DateOfPA Setting","4","7"
"TblEmployeePerformence","KPICatogory","5","130"
"TblEmployeePerformence","KPINOTES","6","130"
"TblEmployeePerformence","Target%","7","5"
"TblEmployeePerformence","Status","8","130"
"TblEmployeePerformence","Percentage","9","5"
"TblEmployeePerformence","ReviewedBy","10","3"
"TblEmployeePerformence","ReviewDate","11","7"
"TblEmployeJobDescriptionDetails","JobDescriptionID","1","3"
"TblEmployeJobDescriptionDetails","EmployeeID","2","3"
"TblEmployeJobDescriptionDetails","JobDescription","3","3"
"tblEmpTake","RequesterName","1","130"
"tblEmpTake","FirstName","2","130"
"tblEmpTake","Surname","3","130"
"tblEmpTake","IDNumber","4","3"
"tblEmpTake","DateEngaged","5","7"
"tblEmpTake","Province","6","3"
"tblEmpTake","Dpartment","7","3"
"tblEmpTake","Jobtitle","8","3"
"tblEmpTake","CellNumber","9","3"
"tblEmpTake","Emergencycontact","10","130"
"tblEmpTake","EmergencyCellnumber","11","3"
"tblEmpTake","UnitNumber","12","130"
"tblEmpTake","StreetNumber","13","130"
"tblEmpTake","Suburb","14","130"
"tblEmpTake","Complex","15","130"
"tblEmpTake","StreetName","16","130"
"tblEmpTake","City","17","130"
"tblEmpTake","Submit","18","130"
"tblEmpTake","Attachment","19","130"
"tblEmpTake","IDcard","20","130"
"tblEmpTake","DrivingLicense","21","130"
"tblEmpTake","CriminalCheck","22","130"
"tblEmpTake","SageForm","23","130"
"tblEmpTake","BankConfirmation","24","130"
"tblEmpTake","SARreg","25","130"
"tblEmpTake","ContractOfEmp","26","130"
"tblEmpTake","PRDP","27","130"
"tblEmpTake","Medical","28","130"
"tblEmpTake","WorkPermit","29","130"
"tblEmpTake","TakeID","30","3"
"tblEmpTest","EmpNo","1","3"
"tblEmpTest","QueNo","2","3"
"tblEmpTest","AnsNo","3","3"
"tblEmpTest","Marks","4","3"
"tblEmpTest","TestID","5","3"
"tblEvaluation","Occuational Level","1","130"
"tblEvaluation","Factor","2","130"
"tblEvaluation","Assessment","3","130"
"tblEvaluation","Justification from JD","4","130"
"tblEvaluation","Additional Portfolios / Expanded Scope","5","130"
"tblEvaluation","Grade Impact Review","6","130"
"tblEvaluation","Recommended JD Grading","7","130"
"tblEvaluation","JobTitle","8","130"
"tblEvaluation","CEOapproval","9","11"
"tblEvaluation","Notes","10","130"
"tblEvaluation","ID","11","3"
"tblExit","Reason Code(drop down)","1","130"
"tblExit","Reason","2","130"
"tblExit","Interviewed by","3","130"
"tblExit","EmpNo","4","3"
"TblExpense","ExpenseID","1","3"
"TblExpense","EmployeeID","2","3"
"TblExpense","Region","3","3"
"TblExpense","Department","4","3"
"TblExpense","DateOfClaim","5","7"
"TblExpense","PeriodClaimStartDate","6","7"
"TblExpense","PeriodClaimEndDate","7","7"
"TblExpense","ListTextItems","8","130"
"TblExpense","ExpenseCategory","9","3"
"TblExpense","DepotID","10","3"
"TblExpense","CostOfSaleID","11","3"
"TblExpense","ActivitiesID","12","3"
"TblExpense","OverheadsID","13","3"
"TblExpense","Merge","14","130"
"TblExpense","CostExVAT","15","6"
"TblExpense","VAT","16","5"
"TblExpense","VATAmount","17","5"
"TblExpense","TotalAmount","18","5"
"TblExpense","MangerApproval","19","130"
"TblExpense","ApprovedBy","20","130"
"TblExpense","SignedBy","21","130"
"TblExpense","SignedOn","22","7"
"TblExpense","FIles","23","130"
"TblExpense","RefNo","24","3"
"TblExpenseCategory","ExpenseCategoryID","1","3"
"TblExpenseCategory","ExpenseCategory","2","130"
"tblGrading","OccLevel","1","130"
"tblGrading","JobTitle","2","130"
"tblGrading","Code","3","130"
"tblGrading","PatersonGrade","4","130"
"tblGrading","PatersonBand","5","130"
"tblGrading","Scale","6","3"
"tblGrading","MinRate","7","3"
"tblGrading","MaxRate","8","3"
"tblInterview","QueID","1","3"
"tblInterview","Que","2","130"
"tblInterview","Ans","3","130"
"tblInterview","Score","4","3"
"tblInterview","Head","5","130"
"TblJobDescription","JobDescriptionID","1","3"
"TblJobDescription","JobTitleID","2","3"
"TblJobDescription","JobDescription","3","130"
"TblJobdescriptionDetailRecord","JoBID","1","3"
"TblJobdescriptionDetailRecord","Job Title","2","3"
"TblJobdescriptionDetailRecord","Skill level","3","130"
"TblJobdescriptionDetailRecord","Qualification","4","130"
"TblJobDescriptionEntryRecord","JobDescriptionRecordID","1","3"
"TblJobDescriptionEntryRecord","JobDescriptionID","2","3"
"TblJobDescriptionEntryRecord","JobDescription","3","3"
"TblJobDesExternalTrainingEntry","JobDescriptionID","1","3"
"TblJobDesExternalTrainingEntry","JobDescription","2","3"
"TblJobDesExternalTrainingEntry","ExternalTraining","3","3"
"TblJobDesInternalTrainingEntry","JobDescriptionID","1","3"
"TblJobDesInternalTrainingEntry","JobDescription","2","3"
"TblJobDesInternalTrainingEntry","InternalTraining","3","3"
"TblJobDesRolesAndResponsibility","RolesAndResponsibilitiesID","1","3"
"TblJobDesRolesAndResponsibility","JobDescriptionId","2","3"
"TblJobDesRolesAndResponsibility","RolesAndRes","3","130"
"TblJobTitle","JobTitleID","1","3"
"TblJobTitle","JobTitle","2","130"
"TblJobTitle","Job_code","3","130"
"TblKPI","KPIID","1","3"
"TblKPI","KPI","2","130"
"TblKPICategory","KPICateID","1","3"
"TblKPICategory","KPICatrgory","2","130"
"TblLeaveForm","LeaveID","1","3"
"TblLeaveForm","Region","2","3"
"TblLeaveForm","Department","3","3"
"TblLeaveForm","EmployeeID","4","3"
"TblLeaveForm","DateOFEngagement","5","7"
"TblLeaveForm","TypeOfLeave","6","3"
"TblLeaveForm","StartDate","7","7"
"TblLeaveForm","ToDate","8","7"
"TblLeaveForm","TotalDays","9","5"
"TblLeaveForm","TotalHoildays","10","3"
"TblLeaveForm","ManagerApprovalStatus","11","130"
"TblLeaveForm","HRApprovalStatus","12","130"
"TblLeaveForm","EmailStatus","13","3"
"TblLeaveForm","Approver","14","3"
"tblMainSHeetInterview","Name","1","130"
"tblMainSHeetInterview","Surname","2","130"
"tblMainSHeetInterview","Vacancy Number","3","130"
"tblMainSHeetInterview","Job Title","4","130"
"tblMainSHeetInterview","JD Number","5","130"
"tblMainSHeetInterview","Occpational Level","6","130"
"tblMainSHeetInterview","Description","7","130"
"tblMainSHeetInterview","Region","8","130"
"tblMainSHeetInterview","Department","9","130"
"tblMainSHeetInterview","Interviewer Lead","10","130"
"tblMainSHeetInterview","EE assessment","11","3"
"tblMainSHeetInterview","Qualification","12","3"
"tblMainSHeetInterview","Experience","13","3"
"tblMainSHeetInterview","Physchology","14","3"
"tblMainSHeetInterview","Cultural Fit","15","3"
"tblMainSHeetInterview","Total","16","3"
"tblMainSHeetInterview","EMPID","17","3"
"tblNatureOfOffence","OffenceID","1","3"
"tblNatureOfOffence","OffenceName","2","130"
"tblNonRecruitmentReason","ReasonID","1","3"
"tblNonRecruitmentReason","Reason","2","130"
"tblOccLevel","Occupational Level","1","130"
"tblOverheads","OverheadsID","1","3"
"tblOverheads","Overheads","2","130"
"tblOverheads","Code","3","3"
"tblPermissions","ScreenName","1","130"
"tblPermissions","Admin","2","11"
"tblPermissions","UserLevel1","3","11"
"tblPermissions","UserLevel2","4","11"
"tblPermissions","UserLevel3","5","11"
"tblPermissions","PermitID","6","3"
"tblQualDev","DevNo","1","3"
"tblQualDev","QualID","2","3"
"tblQualDev","Qualification","3","130"
"tblQualDev","TimeFrame","4","130"
"tblQualDev","TargetDate","5","7"
"tblQualDev","Status","6","130"
"tblQualDev","Approval","7","130"
"tblQualDev","Dt","8","7"
"tblQualDev","LineManager","9","130"
"tblQualDev","HR","10","130"
"tblQualDev","Compliance","11","130"
"tblQualDev","EXCO","12","130"
"tblQualDev","Competency","13","130"
"tblQualDev","Area","14","130"
"tblQue","TrainNo","1","3"
"tblQue","QueID","2","3"
"tblQue","Question","3","130"
"tblRecruitmentAppData","Year","1","5"
"tblRecruitmentAppData","Region","2","130"
"tblRecruitmentAppData","Department","3","130"
"tblRecruitmentAppData","Job title","4","130"
"tblRecruitmentAppData","Occupational Level","5","130"
"tblRecruitmentAppData","Field6","6","130"
"tblRecruitmentAppData","Employment Type","7","130"
"tblRecruitmentAppData","Gender","8","130"
"tblRecruitmentAppData","Race","9","130"
"tblRecruitmentAppData","Responsible Executive","10","130"
"tblRecruitmentAppData","Responsible Manager","11","130"
"tblRecruitmentAppData","Progress Track Status","12","130"
"tblRecruitmentAppData","Reason for appointment","13","130"
"tblRecruitmentTarget","Due Date","1","5"
"tblRecruitmentTarget","Occupational Level","2","130"
"tblRecruitmentTarget","Employment Type","3","130"
"tblRecruitmentTarget","Gender","4","130"
"tblRecruitmentTarget","Race","5","130"
"tblRecruitmentTarget","Value","6","5"
"tblRequest","Date","1","7"
"tblRequest","Region","2","130"
"tblRequest","Department","3","130"
"tblRequest","Name","4","130"
"tblRequest","Surname","5","130"
"tblRequest","Job Title","6","130"
"tblRequest","Occupational Level","7","130"
"tblRequest","Reason for Appoinment","8","130"
"tblRequest","Resposnsible Manager Approval","9","130"
"tblRequest","Responsible Regional manager  Approval","10","130"
"tblRequest","CEO  Approval","11","130"
"tblRequest","Progress Track Status","12","130"
